Harmonious Rose,1004-2A,#F19DB7
Flower Girl,1005-1C,#F398AF
Sweet Sixteen,1006-2A,#F29FAB
Peach Burst,1008-1C,#F39998
Salmon Rose,2003-3C,#E7968B
Coral Reef,2004-4A,#F6A494
Poppy Petal,2001-1C,#F6A08C
Simply Coral,2001-2A,#F8B09C
Apricot Jam,2005-4A,#F5A990
Coral Ridge,2003-6A,#E59E85
Iced Berry,1004-1C,#E67F9B
So Charming,1005-1B,#EA7D96
Poppy Field,1006-1C,#E6888F
Strawberry Pink,2001-3C,#D9878B
Powder Peach,1007-1C,#E18684
Sweet Melon,1008-1B,#EA8280
Coral Passion,2001-1B,#EE8A78
Desert Rose,2004-3C,#E7927F
Sweetly Singing,2005-3C,#E18E78
Orange Slice,2002-1B,#F08A64
Frosty Berry,1003-1B,#DD7699
Peruvian Pom Pom,1006-3C,#CE7C94
Reflecting Rose,1007-3B,#D68095
Passion Pink,1006-1B,#E06E78
Rouge Red,1007-1B,#DD7977
Amber Rose,2003-3B,#DB8478
Flamenco Pink,2004-3B,#DA7867
Ripe Pomegranate,2009-3,#E5745A
Spanish Dancer,2005-3B,#DC7D66
Island Orange,2010-2,#E66C35
Hint of Cherry,1004-1B,#DA6884
Pink Burst,1003-1A,#D55E7B
Sonora Rose,2002-3B,#C86C6D
Cuban Plaza,2001-5B,#C4726F
Blaze Orange,1008-1A,#DF655D
Rhapsody,2002-5C,#C27B71
Ultra Orange,2010-3,#DE6350
Autumn Enchantment,2001-1A,#E46B54
Autumn Blaze,2002-1A,#E16442
Roasted Squash,2006-3A,#D4744A
Berrylicious,1005-1A,#D34E5F
Playful Pink,2001-3B,#C06E71
Scarlet Sun,1011-1,#D24B42
Hacienda Tile,2010-4,#C45749
Roasted Pumpkin,2005-3A,#CD6651
Vivid Orange,2011-3,#CF5942
Florentine Clay,2003-5B,#B87463
Fall Leaf,2009-5,#B9634D
Bear Claw,2004-5A,#AB6A50
Dark Palomino,2011-2,#C2653D
Very Berry,1002-1A,#B95579
Deep Sunset,1005-3A,#A65D75
Sienna Dust,1007-3A,#B45762
Whipped Strawberry,1006-1A,#C74E5B
Red Bliss,1010-1,#CF454A
Autumn Fire,1007-1A,#C34B4A
Island Salsa,2003-3A,#BB5D50
Terra Cotta Red,2004-3A,#C2584A
Orange Maple,2010-5,#B35943
Cinnamon Cake,3010-6,#A96245
Berry Blush,1004-1A,#B84D5D
Deep Rose,2001-3A,#AC595A
Red Ochre,2011-4,#A85551
Oh So Red,1009-1,#BE4948
Brick Facade,2002-3A,#B25550
Lovely Love Song,2009-4,#C34B44
Rare Sienna,2010-7,#A7584C
Fire Orange,2009-7,#B35545
Crimson Glow,2011-5,#A85341
Toffee Glaze,3011-6,#9A5F45
Radiant Red,1009-3,#8F3841
Cut Ruby,1009-4,#8C363B
Quite Red,1011-3,#94353C
Bright Red,1010-2,#AD3C44
Fabulous Red,1011-2,#973E41
Classic Red,1009-2,#AE373F
Toasted Cranberry,2001-5A,#A4554D
Decadent Red,2002-5A,#904C44
Russet Red,2011-7,#944F43
Autumn Russet,2009-6,#945642
Heirloom Red,1010-3,#7F3639
Sassy Peach,2003-2A,#FCB78C
Peach Taffy,2006-4A,#F6BA93
Orange Taffy,2008-6A,#F1BB8C
Almond Butter,3001-4A,#F1C18D
Hayloft,2006-2A,#FCC484
Apricot Butter,2005-2A,#FFCA8C
Orange Toffee,2007-1C,#FDBC6C
Cantaloupe Smile,2007-2A,#FFC479
Whipped Apricot,2007-2B,#FFD599
Peach Tea,3002-3C,#FDC572
Peach Frenzy,2004-2A,#FBB484
Tangerine Cream,2007-3C,#FAB67F
Orange Ice,2005-1C,#FFB571
Honey Tea,2008-4A,#EEB47A
Orange Cream,2006-1C,#F4B779
Pumpkin Butter,2007-1B,#FEAF50
Spun Gold,3001-5C,#EBB880
Spring Squash,2008-1B,#FEB24F
Morning Sunrise,3011-2,#FFB234
Afternoon Tea,3002-3B,#F4B65B
Ripe Melon,2002-1C,#F8A47E
Orange Nut,2004-1C,#F6A370
Apricot Honey,2006-3C,#F1AB7F
Warm Cider,2003-1C,#F4AE80
Tomato Bisque,2008-5C,#E9AB77
Toasted Honey,2006-1B,#EFA861
Buttered Hazelnut,3001-3C,#ECB276
Sunset Glow,3009-2,#FFAB37
Orange Glow,3001-1A,#FFA900
Pirate's Treasure,3006-5B,#E2AE62
Pumpkin Burst,2005-1B,#F89E57
Orange Ochre,2010-1,#F39C4E
Butterscotch Sundae,2008-3C,#E9A871
Brioche,3001-5B,#E7A870
Monarch Wing,2008-1A,#F99F3B
Frankincense,3002-5C,#DAA977
Safari Sun,3004-5B,#DBA867
Creamy Orange,3005-5B,#DAAC6F
Ambitious,3005-5C,#D8AF77
Caramel Honey,3003-3B,#E3AB57
Tangerine,2004-1B,#F2915E
Orange Pecan,2003-1B,#EF9A6D
Peach Ice Cream,2007-5C,#DB9F7A
Brushed Orange,2007-3B,#F29C5E
Orange Fruit,2011-1,#F88F21
Toffee Cream,3001-3B,#DD9C62
Buttercup Squash,2007-1A,#F89839
Toasted Coffee,2008-3B,#E5A060
Roasted Chestnut,3002-3A,#E49B40
Golden Castle,3004-3A,#E3A031
Toasted Apricot,2006-3B,#E38F66
Laredo,2004-5C,#D29473
Carrot Cake,2007-3A,#EB8A52
Longhorn,2007-5B,#D6926B
Fresh Persimmons,2009-1,#F58E4B
Pumpkin Custard,2005-1A,#F38F3E
Toasted Pumpkin,2006-1A,#E38F43
Autumn Spice,3003-5B,#CD965C
Poseidon's Gold,3004-5A,#CE9650
Amber Wheat,3003-3A,#DA9A40
Autumn Glimmer,2003-1A,#E97F4E
Autumn Gala,2004-1A,#EB7B45
Patio Stone,2008-5B,#D28A5B
Coffee Whip,2008-3A,#D7884E
Canyon Sun,3001-5A,#C78351
Hazelnut Coffee,3001-3A,#D48D4F
Pronghorn,3002-5A,#BF8655
Fancy Suede,3010-5,#C2874D
Butternut Tree,3002-5B,#C8935B
Bugle Call,3006-5A,#CF954A
Cattle Drive,2007-5A,#B77658
Clove Bud,2004-5B,#C38162
Caramel Cream,2009-2,#C56E39
Caramel Toffee,3009-7,#B47B4D
Wet Riverbanks,3011-4,#B6793D
Amber Sienna,3003-5A,#BA854D
Garden Ochre,3005-5A,#B7874C
Pumpkin Squash,3009-5,#B88541
Mixed Potpourri,3010-4,#B18A52
Camel Ride,3005-7A,#B18A52
Fiesta,2008-5A,#B66B46
Orange Glaze,3009-6,#B66A3E
Autumn Surprise,3011-5,#9D6C40
Praline Cake,3004-7A,#A4794D
Toasted Wheat,3001-2B,#FFDD97
Peach Tickle,3002-2B,#FFE3A1
Fruit Compote,3004-2A,#FFE190
Sunglow,3003-2B,#FFE59E
Hazy Dawn,3004-2B,#FEE8AC
Toasted Oat,3005-4A,#F9E098
Like Butter,3005-2A,#FEE59C
Tangy Lemon,3006-2A,#FEE284
Lemon Twist,3006-2B,#FDE9A1
Lemon Curd,3007-2A,#FDE581
Butterscotch Cream,2008-2A,#FFD78C
Maple Cream,3003-4B,#FDDDA8
Toasted Pecan,3002-2A,#FFDA89
Honey Glaze,3003-2A,#FFDD7A
Hint of Honey,3005-1C,#FFDE81
Almond Glaze,3005-3C,#FADB85
Yellow Chimes,3011-1,#FFDD5D
Golden Mist,3007-1C,#FBDD64
Late Day Sun,3006-4A,#F3DE97
Top Banana,3008-1C,#FAE17D
Soft Duckling,3001-2A,#FFD175
Lazy Sun,3006-6A,#FAD79E
Brushed Almond,3004-4A,#FED385
Golden Butter,3002-1C,#FFD277
Summer Wheat,3004-1C,#FFD979
Sunny Jonquil,3010-1,#FFD639
Golden Haze,3006-1C,#F8D866
Sweet Mustard,3008-1B,#FBD950
Pineapple Mousse,3008-3C,#F1D875
Island Sun,3007-3C,#EFDA86
Croissant,3002-4A,#F8CE8C
Dreamy Caramel,3003-4A,#F6CD8A
Maple Taffy,3004-3C,#FECA6D
Bask in the Glow,2008-1C,#F7CC7C
Golden Promise,3003-1C,#FFD052
Summer Gold,3005-1B,#FDD25D
Dandelion Chain,3006-1B,#F9D14C
Amber Pearl,3006-3C,#F3D57E
Tangy,3008-1A,#FBD12B
Golden Yellow,3007-1B,#FCD545
Delightful Moon,3004-6A,#EBC995
Pale Butter,3003-3C,#F4C77F
Elizabethan Yellow,3009-1,#FFC33E
Chickadee,3002-1B,#FFC34D
Golden Spell,3004-1B,#FEC540
Field of Daisies,3003-1B,#FFC843
Sweet Lemon,3006-3B,#F2C85E
Golden Delight,3005-1A,#FECA2A
Dijon,3006-1A,#F7C82F
Yellow Mustard,3007-1A,#FACD03
Golden Chime,3006-5C,#F0C282
Dandelion Wish,3001-1B,#FFBB46
Sunspark,3010-2,#FFBC2E
Gold Tone,3001-1C,#FFC14A
Cloudy Sunset,3005-8A,#E4C38E
Gold Abundance,3003-1A,#FFBB08
Golden Treasure,3004-1A,#FCC13D
Sunday Brunch,3005-3B,#ECC455
24 Karats,3008-6A,#DFC686
Fall Meadow,3007-3B,#E1C861
Golden Flame,3002-1A,#FFB41C
Golden Moon,3004-3B,#F5B651
Veranda Yellow,3005-6A,#E4C18B
Buttered Toffee,3005-3A,#EFBB3B
Harpswell Green,3007-5C,#DDBF85
Mustard Glaze,3006-3A,#E4BB53
Heraldic Gold,3010-3,#E2BA4E
Golden Meadow,3008-3B,#E4C24F
Swiftly Green,3008-5C,#DDC47B
Crushed Cumin,6008-6A,#D8C478
Lewis Gold,3005-7C,#CBA56B
Afternoon Stroll,3004-5C,#DFB674
Earthen Sienna,3007-5B,#C9A768
Butterscotch Lollipop,3011-3,#E3B964
Roman Ornament,3009-3,#D3A746
Golden Avocado,3008-5A,#C7A44B
Almond Puff,3008-3A,#CEAB3B
Dylan Velvet,3008-5B,#D0B469
Spring Moss,3007-3A,#D8BC4B
City Chartreuse,6008-6C,#B7A756
Antelope Hide,3005-7B,#C3A069
Corduroy,3007-5A,#B28E4B
Bamboo Leaves,3009-4,#BC9F60
Swampwater,3008-7B,#B3A36A
Wild Daisy,3007-4A,#F3E298
Chickery Chick,3008-2A,#FBE998
Pineapple Cream,3008-4A,#F8E9AA
Daisy Spell,3007-4B,#F6EAB3
Summer Sun,3007-2B,#FAEEB5
New Willow,6007-9B,#F0EBAC
Lime Mousse,6008-9B,#E2E48F
Fluorescent Lime,6007-9C,#DEE28C
Fresh Pear,6007-7C,#D6E293
Spring Lawn,6006-9C,#D0E4A5
Desert Hotsprings,6008-5C,#E4D799
Tangy Dill,6008-10A,#D8D556
Citrus Tickle,6008-9C,#DAD969
Green Tea,6008-8A,#CDD170
Celery,6007-10A,#D8DE7E
Garden Fresh,6008-7C,#D8DF80
Sonic Lime,6007-8A,#C0D56E
